Claim Number,City Code,City,Enterprise Type,Claim Type,Claim Site,Product Insured
8GHRMZJC3K,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
HWM5TUU1PP,LKO,Lucknow,One Person Company,Property Damage,In Transit,Misc. Engineering Tools
0N39MFSLH7,BDQ,Vadodara,Public Limited Company,Property Loss,In Transit,Fixtures
1ICMQCWAEJ,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
0YMF8YFOTK,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Furniture
SXIZPZMMDS,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
OFRW65N4YY,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
FEKDP7EOFT,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Misc. Electrical Equipment
JCGI0DVB10,THN,Thane,One Person Company,Property Damage,In Transit,Inventory - Raw Material
QONFGRPPH4,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
B3V8HKZISL,HYD,Hyderabad,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
1QIOAZAC49,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
42PKGBMMDI,ATQ,Amritsar,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
C3K7LPXKIJ,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
9ARH7HB0VH,JAI,Jaipur,Partnership Firm,Property Damage,Warehouse,Misc. Sensors
21U9JVVJ7V,CCU,Kolkata,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
IER3AEBS9L,JAI,Jaipur,Foreign Subsidary,Property Loss,In Transit,Misc. Engineering Tools
E67RU2WTHP,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
75WSYYXJB6,BDQ,Vadodara,Sole Proprietorship,Property Damage,Warehouse,Inventory - Raw Material
LXE99NVQZ3,JAI,Jaipur,Foreign Subsidary,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
F4G4LQVHCC,PAT,Patna,One Person Company,Property Damage,In Transit,Misc. Electronic Items
CKQEKSA86T,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Inventory - Finished Goods
8ZM7Q4955I,IDR,Indore,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
0V7P231YQX,HYD,Hyderabad,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
ZQ73TAUA7H,IDR,Indore,Partnership Firm,Property Loss,Warehouse,Pumps and Motors
C524ROUZWA,STV,Surat,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
RI53UXQG09,MAA,Chennai,Sole Proprietorship,Property Damage,In Transit,Inventory - Finished Goods
CXW7YCOH97,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
NUUCU13AMJ,BOM,Mumbai,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
QINSW7X7HX,BHO,Bhopal,Joint-Venture Company,Property Damage,Warehouse,Misc. Electronic Items
ZYB3ZTMPJW,PAT,Patna,Public Limited Company,Property Loss,In Transit,Pumps and Motors
R1OH8V7ZP3,AGR,Agra,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
5HBILPNGSD,PAT,Patna,One Person Company,Property Damage,In Transit,Misc. Electronic Items
5VQ1AGC76Q,CJB,Coimbatore,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
PC1DIKX72E,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Finished Goods
D4W9LC50DH,JAI,Jaipur,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
OZ8GRX2IW0,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
1HIW5FN78N,LKO,Lucknow,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
Y3BME44WU8,ATQ,Amritsar,Limited Liability Parterneship (LLP),Property Damage,Warehouse,Furniture
RJ466JANFF,HYD,Hyderabad,Sole Proprietorship,Property Damage,Warehouse,Furniture
ZUN0EMAKU5,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
OMCM1DJ65B,CCU,Kolkata,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
8HBPHM69U4,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
I5NG5CFEYR,IDR,Indore,Private Limited Company,Property Damage,In Transit,Pumps and Motors
INUC9DE0FI,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Pumps and Motors
JI2QSY6JOR,CCU,Kolkata,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
77QM945W6G,AMD,Ahmedabad,One Person Company,Property Damage,In Transit,Misc. Electronic Items
S87B8D4W66,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
VTNI4DKTSZ,CCU,Kolkata,Limited Liability Parterneship (LLP),Property Damage,In Transit,Misc. Electronic Items
ITO2JN0FPX,BDQ,Vadodara,Joint-Venture Company,Property Damage,In Transit,Inventory - Finished Goods
D50AWFLOVQ,DEL,Delhi,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
W1YVC00H81,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Furniture
EQJDCHPFPZ,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Inventory - Raw Material
IACEN10UHG,MAA,Chennai,Private Limited Company,Property Damage,In Transit,Inventory - Finished Goods
DZ2JDYLWQT,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
FKISP3KBB0,AGR,Agra,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
U0TZ1VO3HM,PNQ,Pune,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
17WOM0CTIS,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
B4QIHU56PG,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
46S3RKUHSL,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
G9G4O32HBA,MAA,Chennai,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
BHOPLE1C3X,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,Warehouse,Misc. Electrical Equipment
H42BNOC62F,MAA,Chennai,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
3KRE4GTV64,DEL,Delhi,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
A3PXIFZZPQ,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
2UM6U8UO5K,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
RB1NSJATLB,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
2YHJZR8N7G,NGP,Nagpur,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
IURBSK0SZE,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Fixtures
1MXSEM8HQB,AGR,Agra,Joint-Venture Company,Property Damage,Other,Furniture
5TI8MNI57I,THN,Thane,Private Limited Company,Property Loss,Warehouse,Pumps and Motors
64ESAUU8YL,IDR,Indore,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
ZZMAAA8F8L,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
3KFZE26Q53,AMD,Ahmedabad,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
FUR37IJT1X,DEL,Delhi,One Person Company,Property Damage,In Transit,Misc. Electronic Items
RJTEGJCERE,BHO,Bhopal,Joint-Venture Company,Property Loss,In Transit,Misc. Lab Equipment
CMZXDF3QSB,BLR,Bangalore,Public Limited Company,Property Loss,Warehouse,Furniture
PS6GIL0UPN,BOM,Mumbai,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Engineering Tools
DMKBJL50QE,JAI,Jaipur,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
QLRF044B03,NGP,Nagpur,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
2CIEWSB3DY,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
KASI55LGHT,THN,Thane,One Person Company,Property Loss,In Transit,Inventory - Raw Material
BUUFSDKUAL,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
0P6EDM6PF5,DEL,Delhi,One Person Company,Property Loss,Warehouse,Misc. Engineering Tools
DXZAS0EN2M,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,Warehouse,Furniture
LJOGH01UOR,HYD,Hyderabad,Foreign Subsidary,Property Damage,Warehouse,Furniture
WNFEELPA95,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
OA8Q1651NV,THN,Thane,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
C6ENSIYG5V,HYD,Hyderabad,Sole Proprietorship,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
9C623Y1UXQ,LKO,Lucknow,Private Ltd. MSME - Medium,Property Loss,In Transit,Furniture
SPJGBHPJKL,BOM,Mumbai,Sole Proprietorship,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
ESET5POFQW,DEL,Delhi,Sole Proprietorship,Property Loss,In Transit,Misc. Sensors
BVH54KAPO7,JAI,Jaipur,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
MB9G8814XW,AMD,Ahmedabad,Private Limited Company,Property Damage,Warehouse,Fixtures
Q09GQ5RO1W,THN,Thane,Joint-Venture Company,Property Loss,In Transit,Inventory - Finished Goods
D0GZJIOHPF,HYD,Hyderabad,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
NU9AMFFVDQ,AMD,Ahmedabad,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
OCAD3CHPDV,BLR,Bangalore,Foreign Subsidary,Property Damage,Warehouse,Furniture
0DKVGCM8QX,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
PHKH276HNF,NGP,Nagpur,Private Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
CTCQ3NPX4J,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
51MYNN5F0O,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Misc. Engineering Tools
TZHFCOMBW4,NSK,Nashik,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
4JJTAD2AUD,BOM,Mumbai,Private Limited Company,Property Damage,Warehouse,Misc. Engineering Tools
OHAV4MGB4T,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Pumps and Motors
RZGO11D2G2,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
3F1WVMFF1G,VSK,Visakhapatnam,One Person Company,Property Loss,In Transit,Inventory - Raw Material
MBVZYC313T,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Fixtures
B1OV3GZIDG,DEL,Delhi,Joint-Venture Company,Property Loss,In Transit,Furniture
CJW4A9WOY5,JAI,Jaipur,Partnership Firm,Property Loss,Warehouse,Inventory - Raw Material
K2MH8SLMY7,BLR,Bangalore,One Person Company,Property Damage,Warehouse,Misc. Engineering Tools
SH5QD5G6IB,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
J6P02QCIGK,CCU,Kolkata,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
LTSYVULTMH,AGR,Agra,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
VF3603X2DH,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
HH814GWF2R,NGP,Nagpur,Sole Proprietorship,Property Damage,Warehouse,Furniture
8MMYHQG35L,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
04JFYB0PW2,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Inventory - Finished Goods
X5ME6JETR9,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Fixtures
LG34AXZ6NY,NSK,Nashik,Joint-Venture Company,Property Loss,Warehouse,Misc. Engineering Tools
UAA2L3XH4C,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Finished Goods
SDQIIQCSTN,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,Warehouse,Misc. Electronic Items
GI1Z36BEMO,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Engineering Tools
ZQ13VBQ0PW,THN,Thane,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
XAZJG37TCP,AMD,Ahmedabad,Joint-Venture Company,Property Loss,In Transit,Inventory - Raw Material
EJK60AVKUS,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
0MO2RXXWA2,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
CP055DL9MM,HYD,Hyderabad,Foreign Subsidary,Property Loss,Warehouse,Inventory - Raw Material
3XMMM9A6GH,LKO,Lucknow,Joint-Venture Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
S2A5LKMKTS,VSK,Visakhapatnam,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
K99KQ2LIJN,BOM,Mumbai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
92HKANOESV,LKO,Lucknow,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
IRSJX010ZR,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Misc. Engineering Tools
ZCDRSOYCQQ,THN,Thane,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Electronic Items
J1KNAYUSHV,JAI,Jaipur,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
M0FN1ODA65,HYD,Hyderabad,Foreign Subsidary,Property Damage,In Transit,Misc. Engineering Tools
G5EBJKYXJ3,JAI,Jaipur,Partnership Firm,Property Loss,Warehouse,Misc. Sensors
72O576AATI,THN,Thane,One Person Company,Property Damage,In Transit,Inventory - Raw Material
CBKXVRI0WI,AGR,Agra,Joint-Venture Company,Property Loss,In Transit,Furniture
Y25I1XR1D0,DEL,Delhi,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
3HM2LZPJ6B,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
1XCYU6PTTJ,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
DN7JOYES89,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Loss,In Transit,Misc. Engineering Tools
Y6OEUU6TH0,BOM,Mumbai,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
MQYA963E9X,HYD,Hyderabad,Private Limited Company,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
N1KI5NLU3E,VSK,Visakhapatnam,Limited Liability Parterneship (LLP),Property Damage,In Transit,Inventory - Raw Material
S54P0F0KLI,AGR,Agra,Private Limited Company,Property Loss,In Transit,Pumps and Motors
DCPPYEI9SS,AGR,Agra,Public Limited Company,Property Damage,Warehouse,Misc. Electronic Items
3CPAOT9EYE,STV,Surat,Non-Profit Organization (NPO),Property Loss,Warehouse,Misc. Lab Equipment
1Z6Z9N2K1K,MAA,Chennai,Sole Proprietorship,Property Loss,In Transit,Inventory - Raw Material
BYJQM8CKTS,IDR,Indore,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
F0UKAVVN7D,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Furniture
SHVB7MUU2R,IDR,Indore,Foreign Subsidary,Property Damage,In Transit,Misc. Electronic Items
PSC0WW6YMP,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
ZOMEEN45CU,BOM,Mumbai,Private Limited Company,Property Loss,In Transit,Furniture
KLRS9BUHX4,NGP,Nagpur,Cooperative Society,Property Damage,In Transit,Inventory - Raw Material
5FVR17UXAH,CJB,Coimbatore,Sole Proprietorship,Property Loss,In Transit,Misc. Sensors
6MKRK6S8EA,BDQ,Vadodara,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
BKJB3KJ4G4,AGR,Agra,One Person Company,Property Damage,In Transit,Misc. Electrical Equipment
1ZFTMWWAQ2,NSK,Nashik,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
ARZWRQZKW8,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Misc. Electronic Items
76MAQSHYPT,HYD,Hyderabad,Private Limited Company,Property Damage,Warehouse,Misc. Engineering Tools
V1I7V003NA,BLR,Bangalore,Joint-Venture Company,Property Damage,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
8KBJIWNOSA,STV,Surat,One Person Company,Property Loss,In Transit,Inventory - Raw Material
BO1LI9IFDD,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
H0YK3CMASA,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
NB0ITCHKKG,DEL,Delhi,One Person Company,Property Loss,In Transit,Furniture
7U67H6AFEC,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Fixtures
ZR0II9AT5N,PAT,Patna,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
CVT478QHH2,CCU,Kolkata,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Electrical Equipment
3QX386XD3G,NSK,Nashik,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
HDGCCJIYJ9,DEL,Delhi,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
L90W326GVA,ATQ,Amritsar,Partnership Firm,Property Damage,Warehouse,Furniture
K46BA0JHTI,DEL,Delhi,One Person Company,Property Loss,In Transit,Inventory - Raw Material
3B6W8FPMJ6,PNQ,Pune,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
GOT4MSP8L9,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,Warehouse,"Heating, ventilation, and air conditioning (HVAC) System"
8AD9V5H1RA,JAI,Jaipur,Private Limited Company,Property Loss,In Transit,Furniture
L5D6P0GRDW,STV,Surat,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
AOPVYSXSSV,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Misc. Electronic Items
OWII1S3BID,BLR,Bangalore,Private Ltd. MSME - Micro,Property Loss,In Transit,Furniture
KZACCV7U11,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
5BHXXE73N2,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
UEJDHWBO0B,VSK,Visakhapatnam,One Person Company,Property Damage,In Transit,Misc. Electronic Items
7JKJ6GPP0U,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
JSXGX4K5UU,PAT,Patna,One Person Company,Property Damage,In Transit,Inventory - Finished Goods
JEPQMR8Z23,STV,Surat,Non-Profit Organization (NPO),Property Loss,In Transit,Inventory - Raw Material
PRNVPXF1I1,BDQ,Vadodara,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
XQUMEVRTPK,NGP,Nagpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
U479N0SJAK,KNU,Kanpur,Sole Proprietorship,Property Damage,In Transit,Misc. Engineering Tools
5GGIRKL863,VSK,Visakhapatnam,Partnership Firm,Property Loss,In Transit,Inventory - Raw Material
N8SVT8VBA1,BHO,Bhopal,Joint-Venture Company,Property Loss,Warehouse,Inventory - Raw Material
RP96PC61EE,JAI,Jaipur,Partnership Firm,Property Loss,Warehouse,Misc. Engineering Tools
U18ULQT219,THN,Thane,Joint-Venture Company,Property Loss,In Transit,Fixtures
W2HOUZWMQ3,LKO,Lucknow,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
C27XSXBS3P,PNQ,Pune,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
H7QUM6HUCZ,NSK,Nashik,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
M5HIJN7QDN,PNQ,Pune,Foreign Subsidary,Property Loss,Warehouse,Inventory - Raw Material
JKNFSM6OZL,MAA,Chennai,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
VT90MJF5RL,BDQ,Vadodara,Public Limited Company,Property Damage,In Transit,Misc. Electronic Items
8RON78SUWX,PNQ,Pune,Public Limited Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
UR4NFASJXK,STV,Surat,Partnership Firm,Property Damage,In Transit,Furniture
A515R7EVAA,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
O6NXK2B9OH,VSK,Visakhapatnam,One Person Company,Property Damage,In Transit,Misc. Electronic Items
L3061JCG29,CJB,Coimbatore,Private Limited Company,Property Damage,In Transit,Misc. Engineering Tools
9D0U09S298,VSK,Visakhapatnam,One Person Company,Property Damage,In Transit,Misc. Electronic Items
ZD36HX7EVD,DEL,Delhi,Sole Proprietorship,Property Damage,In Transit,Inventory - Raw Material
AFWNCB0W4P,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Inventory - Raw Material
LJVYGZH696,JAI,Jaipur,One Person Company,Property Loss,In Transit,Inventory - Raw Material
YU1FRDMAVM,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Pumps and Motors
6XNPROXSE3,BDQ,Vadodara,Foreign Subsidary,Property Loss,In Transit,Furniture
ELWRYCN0IT,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Inventory - Finished Goods
WRQKXCSG4G,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Inventory - Raw Material
HMHI97X0OV,CCU,Kolkata,Public Limited Company,Property Loss,In Transit,Misc. Engineering Tools
HPLBJEP022,THN,Thane,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
STXJMD6DN6,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Raw Material
9DY5W6HUCH,JAI,Jaipur,Sole Proprietorship,Property Loss,In Transit,Furniture
E3HO44GZ14,DEL,Delhi,One Person Company,Property Loss,In Transit,Fixtures
88OT5OKYBD,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Damage,In Transit,Misc. Electronic Items
N94KNLXYI4,AMD,Ahmedabad,Private Ltd. MSME - Medium,Property Loss,In Transit,Inventory - Raw Material
69UGJ3U9BS,PAT,Patna,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
LJ1804088V,DEL,Delhi,Sole Proprietorship,Property Loss,Warehouse,Inventory - Raw Material
YFX3SWHHCF,BDQ,Vadodara,Sole Proprietorship,Property Loss,Warehouse,Misc. Lab Equipment
6IZXRRSZ4W,CCU,Kolkata,Non-Profit Organization (NPO),Property Loss,In Transit,Misc. Engineering Tools
EQGAIYOZO8,HYD,Hyderabad,Private Limited Company,Property Loss,In Transit,Furniture
GCDNML7Z8L,JAI,Jaipur,Partnership Firm,Property Loss,Warehouse,Misc. Lab Equipment
GUS3H5DEC6,PNQ,Pune,Foreign Subsidary,Property Loss,In Transit,Misc. Electrical Equipment
ZTZ4AV2JBB,AMD,Ahmedabad,Limited Liability Parterneship (LLP),Property Damage,In Transit,Inventory - Raw Material
0FSS66VLKP,BOM,Mumbai,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
KZZADAZZGA,AMD,Ahmedabad,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
S7KQOCRE93,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Inventory - Raw Material
EBOO8WX7YT,BHO,Bhopal,Joint-Venture Company,Property Damage,In Transit,Inventory - Raw Material
TNB374Z1TA,CJB,Coimbatore,Joint-Venture Company,Property Damage,In Transit,Misc. Electronic Items
YSJ03871MK,HYD,Hyderabad,Private Limited Company,Property Damage,In Transit,Misc. Electronic Items
FHESH9PYTE,IDR,Indore,One Person Company,Property Loss,In Transit,Furniture
Z7KSKHYINW,BDQ,Vadodara,Private Limited Company,Property Damage,In Transit,Inventory - Raw Material
P3MOWZ2KUD,BOM,Mumbai,One Person Company,Property Loss,In Transit,Misc. Sensors
F673I0YPOJ,STV,Surat,Non-Profit Organization (NPO),Property Damage,In Transit,Inventory - Raw Material
S6J5Y2FKSX,BOM,Mumbai,One Person Company,Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
TH66W89T5L,NGP,Nagpur,Private Limited Company,Property Damage,Warehouse,Pumps and Motors
7LH67I6L6V,DEL,Delhi,One Person Company,Property Loss,In Transit,Fixtures
F2MJ4VR8DD,NGP,Nagpur,One Person Company,Property Loss,In Transit,Misc. Engineering Tools
B57KV9OJO5,THN,Thane,Joint-Venture Company,Property Damage,In Transit,Misc. Engineering Tools
KT0PU5AS7E,PNQ,Pune,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
E4IMRD17LG,NSK,Nashik,One Person Company,Property Damage,In Transit,Misc. Electronic Items
L15XTEEQOM,BOM,Mumbai,One Person Company,Property Loss,In Transit,Inventory - Finished Goods
NLWLW9NKCP,LKO,Lucknow,Partnership Firm,Property Damage,In Transit,Misc. Engineering Tools
3EYJIB3T2V,AMD,Ahmedabad,Private Ltd. MSME - Micro,Property Loss,In Transit,Inventory - Raw Material
IFJE1NI5LL,ATQ,Amritsar,Partnership Firm,Property Loss,In Transit,Misc. Engineering Tools
CM46FTZUUY,PNQ,Pune,Limited Liability Parterneship (LLP),Property Damage,In Transit,Cameras and other Misc. Security Equipment
BRZTSKDQZ5,HYD,Hyderabad,Foreign Subsidary,Property Loss,In Transit,Pumps and Motors
14TJ0NKHIK,JAI,Jaipur,Private Ltd. MSME - Small,Property Damage,In Transit,Misc. Engineering Tools
QPY3ZOOFCL,IDR,Indore,Foreign Subsidary,Property Loss,In Transit,Inventory - Raw Material
FST5VFXPUS,THN,Thane,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
3F5WMHONEA,MAA,Chennai,Partnership Firm,Property Loss,Warehouse,Inventory - Raw Material
869ALFN12E,BDQ,Vadodara,One Person Company,Property Loss,In Transit,Misc. Electrical Equipment
SDMKLQJBMF,MAA,Chennai,Sole Proprietorship,Property Damage,Warehouse,Inventory - Raw Material
A9GU85TF5E,THN,Thane,Partnership Firm,Property Loss,In Transit,"Property, Plant, and Equipment (PPE) Parts"
JGGPCDZND2,CCU,Kolkata,Private Limited Company,Property Loss,In Transit,Misc. Electrical Equipment
D2RWCMU5JX,KNU,Kanpur,Sole Proprietorship,Property Loss,In Transit,Misc. Engineering Tools
GKBP5BVWZR,CCU,Kolkata,Private Limited Company,Property Loss,Warehouse,Misc. Engineering Tools
BTH4EV1HAG,AMD,Ahmedabad,Joint-Venture Company,Property Loss,In Transit,Pumps and Motors
RJSK6WLXKL,THN,Thane,Private Ltd. MSME - Small,Property Loss,In Transit,Misc. Engineering Tools
UBX5B51H26,BLR,Bangalore,Public Limited Company,Property Loss,In Transit,Misc. Sensors
LWAX3FMOFI,DEL,Delhi,Non-Profit Organization (NPO),Property Loss,In Transit,"Heating, ventilation, and air conditioning (HVAC) System"
LK9X9MSWGP,JAI,Jaipur,Joint-Venture Company,Property Loss,In Transit,Misc. Electrical Equipment
